T1: 1(0.65), 3(0.74), 5(0.83), 7(0.6), 9(0.61), 11(0.93), 13(0.76), 15(0.74), 17(0.8), 19(0.5), 21(0.58), 23(0.58), 25(0.86), 27(0.75), 29(0.85), 31(0.53), 34(0.68), 36(0.7), 38(0.62), 40(0.86), 42(0.65), 44(0.58), 46(0.67), 48(0.74), 50(0.66), 52(0.67), 54(0.89), 56(0.51), 58(0.86), 60(0.88), 62(0.93), 64(0.55), 66(0.78), 68(0.74), 70(0.74), 72(0.91), 74(0.69)
T25: 1(0.77), 3(0.99), 5(0.95), 7(0.79), 9(0.62), 11(0.59), 13(0.98), 15(0.88), 17(0.85), 19(0.77), 21(0.59), 24(0.65), 25(0.55), 27(0.9), 29(0.85), 32(0.62), 34(0.62), 36(0.76), 38(0.79), 40(0.74), 43(0.9), 44(0.72), 46(0.91), 48(0.51), 50(0.83), 52(0.6), 54(0.76), 56(0.91), 58(0.78), 60(0.93), 62(0.91), 65(0.57), 66(0.61), 68(0.84), 70(0.59), 72(0.66), 74(0.55)
T26: 1(0.92), 3(0.69), 5(0.64), 7(0.6), 9(0.96), 11(0.57), 13(0.72), 16(0.84), 17(0.56), 19(0.77), 21(0.8), 24(0.65), 25(0.54), 27(0.75), 29(0.76), 32(0.8), 34(0.66), 36(0.93), 38(0.89), 40(0.55), 42(0.94), 44(0.71), 46(0.72), 48(0.66), 50(0.76), 52(0.94), 54(0.91), 56(0.63), 58(0.97), 60(0.89), 62(0.81), 64(0.85), 66(0.86), 68(0.65), 70(0.59), 72(0.97), 74(0.75)
T27: 1(0.66), 3(0.74), 5(0.98), 7(0.8), 9(0.81), 12(0.68), 13(0.52), 16(0.93), 17(0.75), 19(0.56), 21(0.85), 24(0.61), 25(0.78), 27(0.91), 29(0.93), 32(0.74), 34(0.89), 36(0.5), 38(0.81), 40(0.66), 42(0.57), 44(0.57), 46(0.95), 48(0.74), 50(0.64), 52(0.76), 54(0.98), 56(0.9), 58(0.64), 60(0.74), 62(0.57), 64(0.55), 66(0.52), 68(0.55), 70(0.53), 72(0.56), 74(0.78)
T28: 1(0.53), 3(0.9), 5(0.67), 7(0.98), 9(0.54), 11(0.59), 13(0.97), 15(0.62), 17(0.98), 20(0.76), 21(0.88), 24(0.84), 25(0.71), 27(0.83), 29(0.69), 32(0.84), 34(0.83), 36(0.82), 38(0.69), 40(0.81), 42(0.52), 44(0.99), 47(0.59), 48(0.98), 50(0.52), 52(0.78), 54(0.84), 56(0.94), 58(0.79), 60(0.74), 62(0.62), 64(0.56), 66(0.81), 68(0.95), 70(0.88), 72(0.54), 74(0.74)
T29: 1(0.81), 3(0.5), 5(0.77), 7(0.77), 9(0.76), 11(0.93), 13(0.54), 15(0.89), 17(0.5), 19(0.87), 21(0.58), 24(0.66), 25(0.95), 27(0.71), 29(0.56), 32(0.74), 34(0.91), 36(0.83), 38(0.84), 40(0.78), 42(0.65), 44(0.61), 46(0.98), 48(0.84), 51(0.52), 52(0.67), 54(0.99), 56(0.51), 58(0.8), 60(0.83), 62(0.57), 64(0.59), 66(0.98), 68(0.61), 70(0.59), 72(0.89), 74(0.52)
T30: 1(0.58), 3(0.51), 5(0.75), 7(0.71), 9(0.87), 11(0.74), 13(0.67), 15(0.51), 17(0.87), 19(0.89), 21(0.99), 24(0.65), 25(0.79), 27(0.65), 29(0.54), 32(0.84), 34(0.96), 36(0.6), 38(0.85), 40(0.88), 42(0.54), 44(0.77), 46(0.6), 48(0.54), 51(0.72), 52(0.91), 54(0.8), 56(0.76), 58(0.88), 60(0.95), 62(0.58), 65(0.56), 66(0.84), 68(0.6), 70(0.75), 72(0.51), 74(0.76)
T31: 1(0.92), 3(0.6), 5(0.65), 7(0.79), 9(0.97), 11(0.7), 13(0.65), 15(1.0), 17(0.64), 19(0.76), 21(0.74), 24(0.74), 25(0.97), 27(0.54), 29(0.58), 32(0.53), 34(0.57), 36(0.65), 38(0.84), 40(0.73), 43(0.99), 44(0.79), 46(0.67), 48(0.68), 51(0.86), 52(0.65), 54(0.96), 56(0.79), 58(0.81), 60(0.88), 62(0.8), 65(0.92), 66(0.53), 68(0.51), 70(0.77), 72(0.7), 74(0.98)
T32: 1(0.72), 3(0.61), 5(0.99), 7(0.99), 9(0.81), 11(0.74), 13(0.94), 15(0.94), 17(0.91), 20(0.87), 21(0.84), 24(0.71), 25(0.51), 27(0.77), 29(0.57), 32(0.77), 34(0.85), 36(0.91), 38(0.93), 40(0.65), 42(0.91), 44(0.74), 47(0.91), 48(0.82), 51(0.57), 52(0.66), 54(0.55), 56(0.53), 58(0.53), 60(0.82), 62(0.6), 64(0.67), 66(0.95), 68(0.8), 70(0.64), 72(0.68), 74(0.51)
T33: 1(0.56), 3(0.57), 5(0.53), 7(0.81), 9(0.91), 11(0.72), 13(0.51), 15(0.71), 17(0.64), 19(0.72), 21(0.82), 24(0.85), 25(0.7), 27(0.91), 29(0.89), 32(0.86), 34(0.73), 36(0.65), 38(0.59), 40(0.7), 42(0.82), 44(0.84), 46(0.79), 48(0.81), 50(0.74), 52(0.56), 54(0.5), 56(0.69), 58(0.55), 60(0.54), 62(0.84), 64(0.84), 66(0.78), 68(0.79), 70(0.72), 73(0.93), 74(0.74)
T34: 1(0.62), 3(0.69), 5(0.88), 7(0.56), 9(0.8), 11(0.57), 13(0.6), 15(0.88), 17(0.84), 19(0.81), 21(0.91), 24(0.62), 25(0.53), 27(0.63), 29(0.72), 32(0.66), 34(0.73), 36(0.68), 38(0.51), 40(0.59), 42(0.62), 44(0.94), 46(0.51), 48(0.86), 50(0.64), 52(0.84), 54(0.72), 56(0.89), 58(0.56), 60(0.66), 62(0.55), 65(0.89), 66(0.56), 68(0.5), 70(0.88), 73(0.59), 74(0.53)
T35: 1(0.62), 3(0.85), 5(0.55), 7(0.91), 9(0.95), 11(0.74), 13(0.65), 16(0.91), 17(0.86), 19(0.93), 21(0.96), 24(0.81), 25(0.63), 27(0.96), 29(0.73), 32(0.83), 34(0.84), 36(0.86), 38(0.62), 40(0.85), 42(0.94), 44(0.98), 46(0.59), 48(0.97), 50(0.64), 52(0.86), 54(0.71), 56(0.59), 58(0.89), 60(0.98), 62(0.95), 64(0.84), 66(0.71), 68(0.87), 70(0.83), 73(0.58), 74(0.86)
T36: 1(0.83), 3(0.95), 5(0.87), 7(0.61), 9(0.89), 12(0.68), 13(0.84), 16(0.93), 17(0.98), 19(0.63), 21(0.92), 24(0.98), 25(0.67), 27(0.93), 29(0.87), 32(0.58), 34(0.91), 36(0.62), 38(0.72), 40(0.66), 42(0.9), 44(0.65), 46(0.84), 48(0.83), 50(0.75), 52(1.0), 54(0.59), 56(0.83), 58(0.74), 60(0.81), 62(0.92), 64(1.0), 66(0.57), 68(0.88), 70(0.72), 73(0.72), 74(0.92)
T37: 1(0.93), 3(0.92), 5(0.6), 7(0.75), 9(0.88), 12(0.59), 13(0.73), 16(0.7), 17(0.62), 19(0.64), 21(0.83), 24(0.95), 25(0.76), 27(0.64), 29(0.62), 32(0.67), 34(0.85), 36(0.81), 38(0.78), 40(0.99), 43(0.69), 44(0.93), 46(0.9), 48(0.63), 50(0.57), 52(0.61), 54(0.66), 56(0.54), 58(0.65), 60(0.63), 62(0.82), 64(0.71), 66(0.52), 68(0.73), 70(0.93), 73(0.85), 74(0.73)
T38: 1(0.93), 3(0.79), 5(0.96), 7(0.79), 9(0.89), 11(0.89), 13(0.98), 15(0.95), 17(0.93), 20(0.6), 21(0.77), 24(0.72), 25(0.61), 27(0.75), 29(0.86), 32(0.75), 34(0.77), 36(0.66), 38(0.86), 40(0.82), 42(0.58), 44(0.6), 47(0.81), 48(0.99), 50(0.9), 52(0.67), 54(0.64), 56(0.65), 58(0.97), 60(0.58), 62(0.93), 64(0.82), 66(0.96), 68(0.66), 70(0.71), 73(0.6), 74(0.78)
T39: 1(0.77), 3(0.82), 5(0.51), 7(0.95), 9(0.8), 11(0.82), 13(0.72), 15(0.99), 17(0.51), 19(0.55), 21(0.93), 24(0.88), 25(0.58), 27(0.96), 29(0.72), 32(0.71), 34(0.81), 36(0.53), 38(0.91), 40(0.81), 42(0.71), 44(0.66), 46(0.74), 48(0.83), 51(0.87), 52(0.96), 54(0.99), 56(0.75), 58(0.57), 60(0.69), 62(0.57), 65(0.76), 66(0.61), 68(0.72), 70(0.53), 73(0.67), 74(0.62)
T40: 1(0.83), 3(0.71), 5(0.92), 7(0.9), 9(0.68), 11(0.92), 13(0.63), 15(0.99), 17(0.95), 20(0.78), 21(0.73), 24(0.81), 25(0.51), 27(0.68), 29(0.67), 32(0.59), 34(0.76), 36(0.87), 38(0.69), 40(0.67), 42(0.67), 44(0.76), 47(0.8), 48(0.75), 51(0.88), 52(0.57), 54(0.96), 56(0.57), 58(0.59), 60(0.81), 62(0.77), 64(0.84), 66(0.83), 68(0.98), 70(0.75), 73(0.79), 74(0.74)
T41: 1(0.85), 4(0.83), 5(0.79), 7(0.64), 9(0.87), 11(0.7), 13(0.65), 15(0.96), 17(0.83), 19(0.94), 21(0.51), 24(0.66), 25(0.83), 27(0.88), 29(0.88), 31(0.59), 34(0.92), 36(0.87), 38(0.59), 40(0.96), 42(0.9), 44(0.78), 46(0.89), 48(0.81), 50(0.55), 52(0.79), 54(0.9), 56(0.55), 58(0.89), 60(0.61), 62(0.67), 65(0.67), 66(0.93), 68(0.7), 70(0.76), 72(0.67), 74(0.93)
T42: 1(0.63), 4(0.53), 5(0.9), 7(0.87), 9(0.97), 11(0.55), 13(0.57), 15(0.83), 17(0.56), 19(0.59), 21(0.65), 24(0.7), 25(0.54), 27(0.64), 29(0.8), 31(0.56), 34(0.53), 36(0.53), 38(0.65), 40(0.52), 42(0.99), 44(0.87), 46(0.77), 48(0.58), 51(0.84), 52(0.82), 54(0.63), 56(0.77), 58(0.51), 60(0.57), 62(0.6), 64(0.7), 66(0.72), 68(0.54), 70(0.64), 72(0.56), 74(0.9)
T43: 1(0.65), 4(0.55), 5(0.8), 7(0.76), 9(0.85), 11(0.52), 13(0.63), 15(0.93), 17(0.58), 19(0.69), 21(0.53), 24(0.77), 25(0.51), 27(0.86), 29(0.95), 31(0.78), 34(1.0), 36(0.72), 38(0.89), 40(0.57), 42(0.63), 44(0.76), 46(0.69), 48(0.76), 51(0.83), 52(0.63), 54(0.67), 56(0.75), 58(0.96), 60(0.89), 62(0.86), 65(0.67), 66(0.76), 68(0.58), 70(0.87), 72(0.53), 74(0.55)
T44: 1(0.5), 4(0.5), 5(0.9), 7(0.9), 9(0.6), 11(0.81), 13(0.73), 15(0.79), 17(0.82), 19(0.53), 21(0.78), 24(0.87), 25(0.75), 27(0.85), 29(0.97), 31(0.6), 34(0.76), 36(0.82), 38(0.55), 40(0.85), 42(0.98), 44(0.6), 46(0.52), 48(0.82), 51(0.55), 52(0.95), 54(0.64), 56(0.58), 58(0.63), 60(0.87), 63(0.71), 64(0.91), 66(0.54), 68(0.93), 70(0.53), 72(0.66), 74(0.61)
T45: 1(0.97), 4(0.83), 5(0.84), 7(0.89), 9(0.5), 12(0.55), 13(0.75), 16(0.94), 17(0.81), 19(0.51), 21(0.86), 24(0.87), 25(0.71), 27(0.57), 29(0.92), 31(0.87), 34(0.69), 36(0.54), 38(0.93), 40(0.55), 43(0.95), 44(0.88), 46(0.93), 48(0.99), 51(0.6), 52(0.82), 54(0.65), 56(0.88), 58(0.57), 60(0.64), 62(0.9), 64(0.97), 66(0.9), 68(0.94), 70(0.77), 72(0.84), 74(0.92)
T46: 1(0.84), 4(0.51), 5(1.0), 7(0.68), 9(0.52), 11(0.91), 13(0.69), 15(0.59), 17(0.69), 19(0.84), 21(0.62), 24(0.86), 25(0.69), 27(0.68), 29(0.87), 31(0.68), 34(0.99), 36(0.73), 38(0.63), 40(0.59), 42(0.6), 44(0.75), 46(0.9), 48(0.97), 50(0.95), 52(0.68), 54(0.78), 56(0.66), 58(0.6), 60(0.68), 62(0.9), 65(0.98), 66(0.65), 68(0.68), 70(0.66), 73(0.84), 74(0.7)
T47: 1(0.91), 4(0.94), 5(0.78), 7(0.69), 9(0.96), 11(0.9), 13(0.65), 15(0.67), 17(0.83), 19(0.66), 21(0.62), 24(0.68), 25(0.67), 27(0.72), 29(0.54), 31(0.65), 34(0.79), 36(0.95), 38(0.99), 40(0.89), 42(0.71), 44(0.74), 46(0.91), 48(1.0), 51(0.53), 52(0.94), 54(0.57), 56(0.68), 58(0.63), 60(0.81), 62(0.63), 64(0.87), 66(0.64), 68(1.0), 70(0.73), 73(0.59), 74(0.93)
T48: 1(0.58), 4(0.78), 5(0.93), 7(0.56), 9(1.0), 11(0.92), 13(0.87), 15(0.88), 17(0.78), 19(0.95), 21(0.71), 24(0.54), 25(0.92), 27(0.92), 29(0.97), 31(0.64), 34(0.63), 36(0.56), 38(0.52), 40(0.69), 43(0.82), 44(0.81), 46(0.6), 48(0.88), 51(0.67), 52(0.96), 54(0.77), 56(0.61), 58(0.94), 60(0.6), 62(0.67), 64(0.51), 66(0.73), 68(0.78), 70(0.82), 73(0.99), 74(0.74)
T49: 1(0.63), 4(0.94), 5(0.88), 7(0.94), 9(0.73), 11(0.54), 13(0.53), 15(0.9), 17(0.65), 19(0.87), 21(0.97), 24(0.81), 25(0.99), 27(0.93), 29(0.64), 31(0.8), 34(0.83), 36(0.85), 38(0.55), 40(0.61), 42(0.59), 44(0.58), 46(0.71), 48(0.8), 51(0.63), 52(0.54), 54(0.55), 56(0.68), 58(0.8), 60(0.83), 62(0.51), 65(0.55), 66(0.95), 68(0.61), 70(0.52), 73(0.81), 74(0.58)
T50: 1(0.98), 4(0.84), 5(0.94), 7(0.56), 9(0.56), 11(0.57), 13(0.94), 15(0.86), 17(0.64), 19(0.74), 21(0.59), 24(0.66), 25(0.6), 27(0.9), 29(0.64), 33(0.51), 34(0.95), 36(0.56), 38(0.88), 40(0.91), 42(0.89), 44(0.6), 46(0.84), 48(0.53), 50(0.95), 52(0.56), 54(0.52), 56(0.68), 58(0.99), 60(0.65), 62(0.54), 64(0.9), 66(0.57), 68(0.99), 70(0.97), 72(0.91), 74(0.65)
T51: 1(0.83), 4(0.74), 5(0.6), 7(0.7), 9(0.63), 11(0.59), 13(0.65), 15(0.79), 17(0.51), 19(0.95), 21(0.93), 24(0.74), 25(0.95), 27(0.75), 29(0.53), 32(0.8), 34(0.6), 36(0.98), 38(0.68), 40(0.66), 42(0.63), 44(0.89), 46(0.8), 48(0.68), 50(0.8), 52(0.93), 54(0.85), 56(0.81), 58(0.95), 60(0.85), 62(0.97), 65(0.72), 66(0.93), 68(0.9), 70(0.54), 72(0.82), 74(0.82)
T52: 1(0.63), 4(0.65), 5(0.84), 7(0.63), 9(0.63), 11(0.9), 13(0.84), 16(0.93), 17(0.82), 19(0.63), 21(0.78), 24(0.71), 25(0.75), 27(0.72), 29(0.54), 33(0.9), 34(0.97), 36(0.56), 38(0.51), 40(0.62), 42(0.7), 44(0.59), 46(0.61), 48(0.76), 50(0.98), 52(0.7), 54(0.94), 56(0.78), 58(0.7), 60(0.58), 62(0.53), 64(0.82), 66(0.98), 68(0.71), 70(0.99), 72(0.54), 74(0.51)
