T1: 1(0.73), 3(0.95), 5(0.75), 7(0.81), 9(0.82), 11(0.83), 13(0.93), 15(0.96), 17(0.88), 19(0.74), 21(0.80), 23(0.76), 25(0.82), 27(0.80), 29(0.80), 31(0.70), 34(0.81), 36(0.76), 38(0.75), 40(0.95), 42(0.98), 44(0.85), 46(0.85), 48(0.85), 50(0.80), 52(0.81), 54(0.78), 56(0.90), 58(0.72), 60(0.96), 62(0.93), 64(0.91), 66(0.83), 68(0.77), 70(0.75), 72(0.82), 74(0.88)
T20: 1(0.79), 3(0.84), 5(0.92), 7(0.79), 9(0.76), 11(0.88), 13(0.76), 15(0.89), 17(0.98), 20(0.96), 21(0.75), 24(0.75), 25(0.87), 27(0.81), 29(0.99), 31(0.88), 34(0.71), 36(0.73), 38(0.80), 40(0.96), 42(0.84), 44(0.92), 47(0.77), 48(0.83), 51(0.91), 52(0.71), 54(0.91), 56(0.74), 58(0.83), 60(0.76), 62(0.93), 65(1.00), 66(0.86), 68(0.84), 70(0.79), 72(0.90), 74(0.93)
T21: 1(0.86), 3(0.85), 5(0.84), 7(0.80), 9(0.70), 11(0.96), 13(0.91), 15(0.76), 17(0.98), 20(0.71), 21(0.85), 24(0.87), 25(0.76), 27(0.75), 29(0.86), 31(0.74), 34(0.82), 36(0.76), 38(0.91), 40(0.72), 43(0.95), 44(0.92), 47(0.82), 48(0.97), 51(0.85), 52(0.99), 54(0.88), 56(0.99), 58(0.89), 60(0.86), 62(0.90), 65(0.84), 66(0.97), 68(0.94), 70(0.88), 72(0.86), 74(0.74)
T22: 1(0.92), 3(0.99), 5(0.95), 7(0.98), 9(0.82), 12(0.88), 13(0.96), 15(0.98), 17(0.75), 20(0.75), 21(0.97), 24(0.86), 25(0.97), 27(0.93), 29(0.79), 31(0.99), 34(0.93), 36(0.75), 38(0.99), 40(0.77), 42(0.71), 44(0.84), 47(0.96), 48(0.99), 51(0.77), 52(0.87), 54(0.85), 56(0.95), 58(0.87), 60(0.92), 62(0.84), 65(0.76), 66(0.88), 68(0.79), 70(0.85), 72(0.70), 74(0.96)
T23: 1(1.00), 3(0.93), 5(0.77), 7(0.96), 9(0.79), 11(0.89), 13(0.77), 15(0.83), 17(0.96), 19(0.76), 21(0.92), 24(0.73), 25(0.94), 27(0.88), 29(0.89), 32(0.96), 34(0.78), 36(0.78), 38(0.87), 40(0.80), 42(0.80), 44(0.84), 46(0.77), 48(0.93), 50(0.82), 52(0.76), 54(0.81), 56(0.98), 58(0.99), 60(0.79), 62(0.84), 64(0.97), 66(0.92), 68(0.87), 70(0.71), 72(0.78), 74(0.86)
T24: 1(0.96), 3(0.82), 5(0.86), 7(0.90), 9(0.89), 11(0.76), 13(0.97), 15(0.72), 17(0.83), 19(0.99), 21(0.95), 24(0.79), 25(0.76), 27(0.85), 29(0.81), 32(0.83), 34(0.75), 36(0.90), 38(0.87), 40(0.81), 42(0.86), 44(1.00), 46(0.94), 48(0.98), 50(0.99), 52(0.76), 54(0.97), 56(0.78), 58(0.84), 60(0.83), 62(0.85), 65(0.87), 66(0.89), 68(0.89), 70(0.82), 72(0.99), 74(0.89)
T25: 1(0.73), 3(0.77), 5(0.75), 7(0.79), 9(0.95), 11(0.77), 13(0.74), 15(0.98), 17(0.76), 19(0.72), 21(0.75), 24(1.00), 25(0.94), 27(0.82), 29(0.81), 32(0.74), 34(0.70), 36(0.78), 38(0.81), 40(0.90), 43(0.74), 44(0.90), 46(0.76), 48(0.74), 50(0.70), 52(0.92), 54(0.87), 56(0.97), 58(0.98), 60(0.91), 62(0.84), 65(0.80), 66(0.89), 68(0.89), 70(1.00), 72(0.73), 74(0.88)
T26: 1(0.94), 3(0.81), 5(0.94), 7(0.97), 9(0.83), 11(0.97), 13(0.76), 16(0.92), 17(0.74), 19(0.71), 21(0.88), 24(0.82), 25(0.90), 27(0.97), 29(0.99), 32(0.93), 34(0.75), 36(0.79), 38(0.78), 40(0.88), 42(0.99), 44(0.87), 46(0.76), 48(0.74), 50(0.72), 52(0.92), 54(0.77), 56(0.97), 58(0.87), 60(0.94), 62(0.73), 64(0.76), 66(0.91), 68(1.00), 70(0.71), 72(0.82), 74(0.89)
T27: 1(0.94), 3(0.92), 5(0.72), 7(0.84), 9(0.71), 12(0.74), 13(0.75), 16(0.86), 17(0.80), 19(0.99), 21(0.73), 24(0.87), 25(0.92), 27(0.96), 29(0.70), 32(0.86), 34(0.78), 36(0.79), 38(0.98), 40(0.84), 42(0.88), 44(1.00), 46(0.98), 48(0.78), 50(0.71), 52(1.00), 54(0.98), 56(0.92), 58(0.84), 60(0.97), 62(0.74), 64(0.94), 66(0.90), 68(0.99), 70(0.88), 72(0.88), 74(0.86)
T28: 1(0.71), 3(0.77), 5(0.82), 7(0.93), 9(0.99), 11(0.89), 13(0.86), 15(0.86), 17(0.80), 20(0.78), 21(0.89), 24(0.75), 25(0.79), 27(1.00), 29(0.75), 32(0.94), 34(0.74), 36(0.98), 38(0.99), 40(0.81), 42(0.95), 44(0.96), 47(0.87), 48(0.88), 50(0.75), 52(0.80), 54(0.80), 56(0.74), 58(0.73), 60(0.71), 62(0.81), 64(0.97), 66(0.94), 68(0.96), 70(0.76), 72(0.87), 74(0.76)
T29: 1(0.95), 3(0.91), 5(0.81), 7(0.76), 9(0.71), 11(1.00), 13(0.90), 15(0.73), 17(0.84), 19(0.94), 21(0.86), 24(0.76), 25(0.90), 27(0.74), 29(0.73), 32(0.91), 34(0.77), 36(0.84), 38(0.76), 40(0.90), 42(0.88), 44(0.73), 46(0.73), 48(0.85), 51(0.72), 52(0.79), 54(0.87), 56(0.80), 58(0.78), 60(0.89), 62(0.73), 64(0.92), 66(0.91), 68(0.84), 70(0.87), 72(0.90), 74(0.71)
T30: 1(0.71), 3(0.92), 5(0.91), 7(0.85), 9(0.88), 11(0.93), 13(0.72), 15(0.75), 17(0.76), 19(0.92), 21(0.70), 24(0.77), 25(0.77), 27(0.81), 29(0.80), 32(0.89), 34(0.83), 36(0.80), 38(0.82), 40(0.86), 42(0.71), 44(0.77), 46(0.82), 48(0.79), 51(0.72), 52(0.77), 54(0.94), 56(0.85), 58(0.70), 60(0.78), 62(0.96), 65(0.75), 66(0.75), 68(0.90), 70(0.78), 72(0.79), 74(0.73)
T31: 1(0.81), 3(0.87), 5(0.91), 7(0.79), 9(0.94), 11(0.90), 13(0.96), 15(0.76), 17(0.92), 19(0.77), 21(0.79), 24(0.89), 25(0.79), 27(0.95), 29(0.80), 32(0.75), 34(0.82), 36(0.80), 38(0.91), 40(0.77), 43(0.80), 44(0.76), 46(0.74), 48(0.85), 51(0.71), 52(0.99), 54(0.88), 56(0.79), 58(1.00), 60(0.70), 62(0.76), 65(0.98), 66(0.93), 68(0.78), 70(0.99), 72(0.85), 74(0.96)
T32: 1(0.97), 3(0.80), 5(0.94), 7(0.75), 9(0.74), 11(0.95), 13(0.90), 15(0.84), 17(0.94), 20(0.89), 21(0.73), 24(0.96), 25(0.71), 27(0.76), 29(0.92), 32(0.88), 34(0.78), 36(0.75), 38(0.92), 40(0.85), 42(0.95), 44(0.99), 47(0.89), 48(0.96), 51(0.88), 52(0.74), 54(0.96), 56(0.91), 58(0.91), 60(0.85), 62(0.71), 64(0.70), 66(0.71), 68(0.80), 70(0.72), 72(0.87), 74(0.98)
T33: 1(0.79), 3(1.00), 5(0.87), 7(0.93), 9(0.85), 11(0.80), 13(0.94), 15(0.74), 17(0.80), 19(0.84), 21(0.81), 24(0.87), 25(0.90), 27(0.92), 29(0.82), 32(0.93), 34(0.78), 36(0.91), 38(0.88), 40(0.92), 42(0.78), 44(0.74), 46(0.78), 48(0.85), 50(0.82), 52(1.00), 54(0.80), 56(0.87), 58(1.00), 60(0.88), 62(0.71), 64(0.92), 66(0.86), 68(0.96), 70(0.81), 73(0.80), 74(0.90)
T34: 1(0.93), 3(0.97), 5(0.87), 7(0.71), 9(0.76), 11(0.99), 13(0.84), 15(0.99), 17(0.98), 19(0.93), 21(0.84), 24(0.87), 25(0.92), 27(0.79), 29(0.95), 32(0.98), 34(0.72), 36(0.81), 38(0.78), 40(0.79), 42(0.77), 44(0.95), 46(0.90), 48(0.90), 50(0.91), 52(0.78), 54(0.99), 56(0.96), 58(0.88), 60(0.84), 62(0.73), 65(0.87), 66(0.87), 68(0.93), 70(0.75), 73(0.96), 74(0.95)
T35: 1(0.87), 3(0.81), 5(0.95), 7(0.81), 9(0.87), 11(0.83), 13(0.76), 16(0.75), 17(0.73), 19(0.79), 21(0.93), 24(0.96), 25(0.71), 27(0.74), 29(0.85), 32(0.81), 34(0.83), 36(0.94), 38(0.78), 40(0.92), 42(0.73), 44(0.94), 46(0.91), 48(0.81), 50(0.84), 52(1.00), 54(0.90), 56(0.71), 58(0.89), 60(0.92), 62(0.78), 64(0.79), 66(0.82), 68(0.88), 70(0.91), 73(0.74), 74(0.79)
T36: 1(0.81), 3(0.74), 5(0.82), 7(0.77), 9(0.89), 12(0.74), 13(0.93), 16(0.80), 17(0.72), 19(0.85), 21(0.76), 24(0.80), 25(0.82), 27(0.92), 29(0.93), 32(0.82), 34(0.93), 36(0.93), 38(0.74), 40(0.82), 42(0.86), 44(0.99), 46(0.96), 48(0.77), 50(0.76), 52(0.76), 54(0.82), 56(0.80), 58(0.82), 60(0.80), 62(0.78), 64(0.99), 66(0.74), 68(0.88), 70(0.97), 73(0.90), 74(0.74)
T37: 1(0.95), 3(0.77), 5(0.88), 7(0.73), 9(0.87), 12(0.79), 13(0.89), 16(0.78), 17(0.89), 19(0.85), 21(0.77), 24(0.92), 25(1.00), 27(0.90), 29(0.81), 32(0.91), 34(0.92), 36(0.84), 38(0.74), 40(0.74), 43(0.94), 44(0.78), 46(0.84), 48(0.74), 50(0.93), 52(0.91), 54(0.84), 56(0.88), 58(0.99), 60(0.84), 62(0.96), 64(0.88), 66(0.99), 68(0.90), 70(0.81), 73(1.00), 74(0.95)
T38: 1(0.98), 3(0.76), 5(0.93), 7(0.81), 9(0.83), 11(0.74), 13(0.97), 15(0.87), 17(0.75), 20(0.84), 21(0.93), 24(0.90), 25(0.97), 27(1.00), 29(0.82), 32(0.90), 34(0.84), 36(0.73), 38(0.96), 40(0.77), 42(0.84), 44(0.99), 47(0.71), 48(0.70), 50(0.94), 52(0.95), 54(0.87), 56(0.72), 58(0.75), 60(0.80), 62(0.71), 64(0.82), 66(0.72), 68(0.90), 70(0.86), 73(0.76), 74(0.74)
T39: 1(0.96), 3(0.84), 5(0.71), 7(0.95), 9(0.96), 11(0.83), 13(0.73), 15(0.89), 17(0.78), 19(0.78), 21(0.71), 24(0.78), 25(0.70), 27(0.99), 29(0.89), 32(0.82), 34(0.91), 36(0.87), 38(0.71), 40(0.78), 42(0.78), 44(0.82), 46(0.90), 48(0.88), 51(0.95), 52(0.75), 54(0.94), 56(0.94), 58(0.93), 60(0.78), 62(0.95), 65(1.00), 66(0.74), 68(0.71), 70(1.00), 73(0.92), 74(0.79)
T40: 1(0.84), 3(0.87), 5(0.92), 7(0.79), 9(0.82), 11(0.82), 13(0.71), 15(0.96), 17(0.80), 20(0.75), 21(0.92), 24(0.98), 25(0.73), 27(0.91), 29(0.71), 32(0.79), 34(0.71), 36(0.94), 38(0.99), 40(0.73), 42(0.77), 44(0.91), 47(0.99), 48(0.72), 51(0.70), 52(0.74), 54(0.73), 56(0.94), 58(0.90), 60(0.90), 62(0.73), 64(0.88), 66(0.74), 68(0.88), 70(0.86), 73(0.78), 74(0.86)
T41: 1(0.79), 4(1.00), 5(0.70), 7(0.82), 9(0.73), 11(0.74), 13(0.78), 15(0.75), 17(0.98), 19(0.77), 21(0.72), 24(0.90), 25(0.99), 27(1.00), 29(0.85), 31(0.94), 34(0.94), 36(0.70), 38(0.87), 40(0.79), 42(0.72), 44(0.79), 46(0.78), 48(0.71), 50(0.72), 52(0.90), 54(0.93), 56(0.82), 58(0.91), 60(0.74), 62(0.94), 65(0.75), 66(0.85), 68(0.79), 70(0.78), 72(0.94), 74(0.97)
T42: 1(0.71), 4(0.99), 5(0.80), 7(0.97), 9(0.88), 11(0.93), 13(0.99), 15(0.79), 17(0.97), 19(0.71), 21(0.91), 24(0.74), 25(0.70), 27(0.72), 29(0.72), 31(0.97), 34(0.93), 36(1.00), 38(0.93), 40(0.76), 42(0.82), 44(0.96), 46(0.95), 48(0.94), 51(0.81), 52(0.88), 54(0.81), 56(0.74), 58(0.74), 60(0.80), 62(0.73), 64(0.87), 66(0.74), 68(0.98), 70(0.92), 72(0.84), 74(0.79)
T43: 1(0.74), 4(0.75), 5(0.71), 7(0.86), 9(0.79), 11(0.82), 13(0.84), 15(0.74), 17(0.77), 19(0.76), 21(0.94), 24(0.83), 25(0.84), 27(0.72), 29(0.86), 31(0.80), 34(0.92), 36(0.80), 38(0.88), 40(0.75), 42(0.80), 44(0.77), 46(0.82), 48(0.78), 51(0.73), 52(0.92), 54(0.79), 56(0.73), 58(0.87), 60(0.91), 62(0.99), 65(0.95), 66(0.90), 68(0.96), 70(0.73), 72(0.90), 74(0.80)
T44: 1(0.74), 4(0.97), 5(0.78), 7(0.81), 9(0.99), 11(0.83), 13(0.99), 15(0.78), 17(0.94), 19(0.94), 21(0.96), 24(0.82), 25(0.89), 27(0.84), 29(0.96), 31(0.94), 34(0.75), 36(0.83), 38(0.95), 40(0.84), 42(0.80), 44(0.79), 46(0.92), 48(0.98), 51(0.72), 52(0.94), 54(0.85), 56(0.88), 58(0.90), 60(0.73), 63(0.89), 64(0.74), 66(0.90), 68(0.99), 70(0.92), 72(0.76), 74(0.77)
T45: 1(0.71), 4(1.00), 5(0.84), 7(0.84), 9(0.99), 12(0.72), 13(1.00), 16(0.78), 17(0.84), 19(0.97), 21(0.84), 24(0.89), 25(0.76), 27(0.77), 29(0.77), 31(0.72), 34(0.94), 36(0.72), 38(0.84), 40(0.75), 43(0.94), 44(0.97), 46(0.96), 48(0.81), 51(0.82), 52(0.71), 54(0.71), 56(0.72), 58(0.93), 60(0.87), 62(0.98), 64(0.73), 66(0.87), 68(0.81), 70(0.76), 72(0.91), 74(0.88)
T46: 1(0.83), 4(0.72), 5(0.93), 7(0.90), 9(0.95), 11(0.73), 13(0.79), 15(0.98), 17(0.83), 19(0.81), 21(0.91), 24(0.90), 25(0.98), 27(0.86), 29(0.87), 31(0.89), 34(0.89), 36(0.83), 38(0.75), 40(0.86), 42(0.99), 44(0.90), 46(0.91), 48(0.79), 50(0.92), 52(0.88), 54(0.93), 56(0.78), 58(0.98), 60(0.88), 62(0.97), 65(0.78), 66(0.91), 68(0.95), 70(0.75), 73(0.87), 74(0.89)
T47: 1(0.89), 4(0.99), 5(0.92), 7(0.81), 9(0.81), 11(0.77), 13(0.90), 15(0.94), 17(0.85), 19(0.92), 21(0.75), 24(0.82), 25(0.90), 27(0.78), 29(0.71), 31(0.76), 34(0.96), 36(0.93), 38(0.83), 40(0.97), 42(0.91), 44(0.92), 46(0.78), 48(0.77), 51(0.95), 52(0.75), 54(0.78), 56(0.77), 58(0.96), 60(0.88), 62(0.72), 64(0.96), 66(0.83), 68(0.78), 70(0.80), 73(0.93), 74(0.75)
T48: 1(0.83), 4(0.87), 5(0.90), 7(0.99), 9(0.74), 11(0.90), 13(0.84), 15(0.79), 17(0.92), 19(0.75), 21(0.99), 24(0.72), 25(0.93), 27(0.86), 29(0.73), 31(0.99), 34(0.73), 36(0.91), 38(0.95), 40(0.86), 43(0.81), 44(0.92), 46(0.75), 48(0.99), 51(0.79), 52(0.82), 54(0.91), 56(0.89), 58(0.80), 60(0.74), 62(0.73), 64(0.95), 66(0.76), 68(0.74), 70(0.86), 73(0.78), 74(0.85)
T49: 1(0.93), 4(0.97), 5(0.81), 7(0.85), 9(0.75), 11(0.85), 13(0.95), 15(0.82), 17(0.97), 19(0.71), 21(0.84), 24(0.78), 25(0.95), 27(0.90), 29(0.82), 31(0.91), 34(0.97), 36(0.79), 38(0.83), 40(0.91), 42(0.82), 44(0.89), 46(0.99), 48(0.89), 51(0.88), 52(0.95), 54(0.70), 56(0.80), 58(0.86), 60(0.89), 62(0.76), 65(0.80), 66(0.95), 68(0.88), 70(0.82), 73(0.91), 74(0.88)
T50: 1(0.82), 4(0.93), 5(0.88), 7(0.72), 9(0.79), 11(1.00), 13(0.90), 15(0.88), 17(0.88), 19(0.72), 21(0.76), 24(0.85), 25(0.97), 27(0.80), 29(0.71), 33(0.73), 34(0.95), 36(0.86), 38(0.84), 40(0.95), 42(0.96), 44(0.78), 46(0.86), 48(0.97), 50(0.84), 52(0.70), 54(0.92), 56(0.91), 58(0.79), 60(0.73), 62(0.77), 64(0.75), 66(0.94), 68(0.79), 70(0.99), 72(0.89), 74(0.71)
T51: 1(0.87), 4(0.74), 5(0.79), 7(0.83), 9(0.78), 11(0.92), 13(0.89), 15(0.99), 17(0.73), 19(0.95), 21(0.85), 24(0.86), 25(0.73), 27(0.73), 29(0.80), 32(0.79), 34(0.95), 36(0.92), 38(0.75), 40(0.88), 42(0.89), 44(0.80), 46(0.84), 48(0.95), 50(0.71), 52(0.87), 54(0.84), 56(0.98), 58(0.80), 60(0.77), 62(0.70), 65(0.94), 66(0.81), 68(1.00), 70(0.87), 72(0.98), 74(0.71)
T52: 1(0.73), 4(0.92), 5(0.85), 7(0.91), 9(0.71), 11(0.89), 13(0.94), 16(0.83), 17(0.94), 19(0.73), 21(0.83), 24(0.88), 25(0.83), 27(0.78), 29(0.75), 33(0.78), 34(0.91), 36(0.91), 38(0.89), 40(0.91), 42(0.95), 44(0.77), 46(0.73), 48(0.85), 50(0.80), 52(0.95), 54(0.91), 56(0.92), 58(0.98), 60(0.89), 62(0.80), 64(0.86), 66(0.86), 68(0.94), 70(0.82), 72(0.84), 74(0.71)
